;id_station;nom_station_commune;nom_station;commune;espece;abreviation;nb_individus;,id_station,nom_station_commune,commune,espece,abreviation,nb_individus;;;;;;;;annee
2019;id_station;Station numero 1 - MEUDON;Station numero 1;MEUDON;Barbeau fluviatile;BAF;1;2019,id_station,Station numero 1 - MEUDON,MEUDON,Barbeau fluviatile,BAF,1;;;;;;;;2019
2010;id_station;Station numero 1 - MEUDON;Station numero 1;MEUDON;Chabot;CHA;8;2010,id_station,Station numero 1 - MEUDON,MEUDON,Chabot,CHA,8;;;;;;;;2010
2013;id_station;Station numero 1 - MEUDON;Station numero 1;MEUDON;Chabot;CHA;34;2013,id_station,Station numero 1 - MEUDON,MEUDON,Chabot,CHA,34;;;;;;;;2013
2020;id_station;Station numero 1 - MEUDON;Station numero 1;MEUDON;Chabot;CHA;4;2020,id_station,Station numero 1 - MEUDON,MEUDON,Chabot,CHA,4;;;;;;;;2020
2014;id_station;Station numero 1 - MEUDON;Station numero 1;MEUDON;Chevesne;CHE;19;2014,id_station,Station numero 1 - MEUDON,MEUDON,Chevesne,CHE,19;;;;;;;;2014
2017;id_station;Station numero 1 - MEUDON;Station numero 1;MEUDON;Chevesne;CHE;13;2017,id_station,Station numero 1 - MEUDON,MEUDON,Chevesne,CHE,13;;;;;;;;2017
2018;id_station;Station numero 1 - MEUDON;Station numero 1;MEUDON;Chevesne;CHE;35;2018,id_station,Station numero 1 - MEUDON,MEUDON,Chevesne,CHE,35;;;;;;;;2018
2009;id_station;Station numero 1 - MEUDON;Station numero 1;MEUDON;Gardon;GAR;18;2009,id_station,Station numero 1 - MEUDON,MEUDON,Gardon,GAR,18;;;;;;;;2009
2011;id_station;Station numero 1 - MEUDON;Station numero 1;MEUDON;Gardon;GAR;28;2011,id_station,Station numero 1 - MEUDON,MEUDON,Gardon,GAR,28;;;;;;;;2011
2013;id_station;Station numero 1 - MEUDON;Station numero 1;MEUDON;Gardon;GAR;10;2013,id_station,Station numero 1 - MEUDON,MEUDON,Gardon,GAR,10;;;;;;;;2013
2017;id_station;Station numero 1 - MEUDON;Station numero 1;MEUDON;Gardon;GAR;13;2017,id_station,Station numero 1 - MEUDON,MEUDON,Gardon,GAR,13;;;;;;;;2017
2019;id_station;Station numero 1 - MEUDON;Station numero 1;MEUDON;Gardon;GAR;57;2019,id_station,Station numero 1 - MEUDON,MEUDON,Gardon,GAR,57;;;;;;;;2019
2014;id_station;Station numero 1 - MEUDON;Station numero 1;MEUDON;Hotu;HOT;1;2014,id_station,Station numero 1 - MEUDON,MEUDON,Hotu,HOT,1;;;;;;;;2014
2015;id_station;Station numero 1 - MEUDON;Station numero 1;MEUDON;Perche commune;PER;11;2015,id_station,Station numero 1 - MEUDON,MEUDON,Perche commune,PER,11;;;;;;;;2015
2022;id_station;Station numero 1 - MEUDON;Station numero 1;MEUDON;Perche soleil;PES;4;2022,id_station,Station numero 1 - MEUDON,MEUDON,Perche soleil,PES,4;;;;;;;;2022
2015;id_station;Station numero 1 - MEUDON;Station numero 1;MEUDON;Rotengle;ROT;3;2015,id_station,Station numero 1 - MEUDON,MEUDON,Rotengle,ROT,3;;;;;;;;2015
2019;id_station;Station numero 1 - MEUDON;Station numero 1;MEUDON;Rotengle;ROT;3;2019,id_station,Station numero 1 - MEUDON,MEUDON,Rotengle,ROT,3;;;;;;;;2019
2022;id_station;Station numero 1 - MEUDON;Station numero 1;MEUDON;Silure;SIL;2;2022,id_station,Station numero 1 - MEUDON,MEUDON,Silure,SIL,2;;;;;;;;2022
2017;id_station;Station numero 1 - MEUDON;Station numero 1;MEUDON;Vandoise;VAN;5;2017,id_station,Station numero 1 - MEUDON,MEUDON,Vandoise,VAN,5;;;;;;;;2017
2018;id_station;Station numero 1 - MEUDON;Station numero 1;MEUDON;Vandoise;VAN;5;2018,id_station,Station numero 1 - MEUDON,MEUDON,Vandoise,VAN,5;;;;;;;;2018
2016;id_station;Station numero 2 - SEVRES;Station numero 2;SEVRES;Ablette;ABL;17;2016,id_station,Station numero 2 - SEVRES,SEVRES,Ablette,ABL,17;;;;;;;;2016
2018;id_station;Station numero 2 - SEVRES;Station numero 2;SEVRES;Ablette;ABL;4;2018,id_station,Station numero 2 - SEVRES,SEVRES,Ablette,ABL,4;;;;;;;;2018
2020;id_station;Station numero 2 - SEVRES;Station numero 2;SEVRES;Bouviere;BOU;2;2020,id_station,Station numero 2 - SEVRES,SEVRES,Bouviere,BOU,2;;;;;;;;2020
2011;id_station;Station numero 2 - SEVRES;Station numero 2;SEVRES;Breme sp.;BRX;1;2011,id_station,Station numero 2 - SEVRES,SEVRES,Breme sp.,BRX,1;;;;;;;;2011
2018;id_station;Station numero 2 - SEVRES;Station numero 2;SEVRES;Breme sp.;BRX;7;2018,id_station,Station numero 2 - SEVRES,SEVRES,Breme sp.,BRX,7;;;;;;;;2018
2009;id_station;Station numero 2 - SEVRES;Station numero 2;SEVRES;Chabot;CHA;7;2009,id_station,Station numero 2 - SEVRES,SEVRES,Chabot,CHA,7;;;;;;;;2009
2016;id_station;Station numero 2 - SEVRES;Station numero 2;SEVRES;Chabot;CHA;4;2016,id_station,Station numero 2 - SEVRES,SEVRES,Chabot,CHA,4;;;;;;;;2016
2017;id_station;Station numero 2 - SEVRES;Station numero 2;SEVRES;Chabot;CHA;3;2017,id_station,Station numero 2 - SEVRES,SEVRES,Chabot,CHA,3;;;;;;;;2017
2020;id_station;Station numero 2 - SEVRES;Station numero 2;SEVRES;Chabot;CHA;1;2020,id_station,Station numero 2 - SEVRES,SEVRES,Chabot,CHA,1;;;;;;;;2020
2009;id_station;Station numero 2 - SEVRES;Station numero 2;SEVRES;Chevesne;CHE;5;2009,id_station,Station numero 2 - SEVRES,SEVRES,Chevesne,CHE,5;;;;;;;;2009
2013;id_station;Station numero 2 - SEVRES;Station numero 2;SEVRES;Chevesne;CHE;26;2013,id_station,Station numero 2 - SEVRES,SEVRES,Chevesne,CHE,26;;;;;;;;2013
2016;id_station;Station numero 2 - SEVRES;Station numero 2;SEVRES;Chevesne;CHE;31;2016,id_station,Station numero 2 - SEVRES,SEVRES,Chevesne,CHE,31;;;;;;;;2016
2020;id_station;Station numero 2 - SEVRES;Station numero 2;SEVRES;Chevesne;CHE;25;2020,id_station,Station numero 2 - SEVRES,SEVRES,Chevesne,CHE,25;;;;;;;;2020
2010;id_station;Station numero 2 - SEVRES;Station numero 2;SEVRES;Gardon;GAR;92;2010,id_station,Station numero 2 - SEVRES,SEVRES,Gardon,GAR,92;;;;;;;;2010
2014;id_station;Station numero 2 - SEVRES;Station numero 2;SEVRES;Hotu;HOT;89;2014,id_station,Station numero 2 - SEVRES,SEVRES,Hotu,HOT,89;;;;;;;;2014
2011;id_station;Station numero 2 - SEVRES;Station numero 2;SEVRES;Perche commune;PER;5;2011,id_station,Station numero 2 - SEVRES,SEVRES,Perche commune,PER,5;;;;;;;;2011
2011;id_station;Station numero 2 - SEVRES;Station numero 2;SEVRES;Perche soleil;PES;1;2011,id_station,Station numero 2 - SEVRES,SEVRES,Perche soleil,PES,1;;;;;;;;2011
2014;id_station;Station numero 2 - SEVRES;Station numero 2;SEVRES;Vairon;VAI;1;2014,id_station,Station numero 2 - SEVRES,SEVRES,Vairon,VAI,1;;;;;;;;2014
2011;id_station;Station numero 2 - SEVRES;Station numero 2;SEVRES;Vandoise;VAN;8;2011,id_station,Station numero 2 - SEVRES,SEVRES,Vandoise,VAN,8;;;;;;;;2011
2019;id_station;Station numero 2 - SEVRES;Station numero 2;SEVRES;Vandoise;VAN;2;2019,id_station,Station numero 2 - SEVRES,SEVRES,Vandoise,VAN,2;;;;;;;;2019
2020;id_station;Station numero 2 - SEVRES;Station numero 2;SEVRES;Vandoise;VAN;12;2020,id_station,Station numero 2 - SEVRES,SEVRES,Vandoise,VAN,12;;;;;;;;2020
2010;id_station;Station numero 3 - BOULOGNE BILLANCOURT;Station numero 3;BOULOGNE BILLANCOURT;Ablette;ABL;7;2010,id_station,Station numero 3 - BOULOGNE BILLANCOURT,BOULOGNE BILLANCOURT,Ablette,ABL,7;;;;;;;;2010
2012;id_station;Station numero 3 - BOULOGNE BILLANCOURT;Station numero 3;BOULOGNE BILLANCOURT;Ablette;ABL;58;2012,id_station,Station numero 3 - BOULOGNE BILLANCOURT,BOULOGNE BILLANCOURT,Ablette,ABL,58;;;;;;;;2012
2016;id_station;Station numero 3 - BOULOGNE BILLANCOURT;Station numero 3;BOULOGNE BILLANCOURT;Ablette;ABL;13;2016,id_station,Station numero 3 - BOULOGNE BILLANCOURT,BOULOGNE BILLANCOURT,Ablette,ABL,13;;;;;;;;2016
2013;id_station;Station numero 3 - BOULOGNE BILLANCOURT;Station numero 3;BOULOGNE BILLANCOURT;Chabot;CHA;35;2013,id_station,Station numero 3 - BOULOGNE BILLANCOURT,BOULOGNE BILLANCOURT,Chabot,CHA,35;;;;;;;;2013
2014;id_station;Station numero 3 - BOULOGNE BILLANCOURT;Station numero 3;BOULOGNE BILLANCOURT;Chabot;CHA;44;2014,id_station,Station numero 3 - BOULOGNE BILLANCOURT,BOULOGNE BILLANCOURT,Chabot,CHA,44;;;;;;;;2014
2014;id_station;Station numero 3 - BOULOGNE BILLANCOURT;Station numero 3;BOULOGNE BILLANCOURT;Chevesne;CHE;41;2014,id_station,Station numero 3 - BOULOGNE BILLANCOURT,BOULOGNE BILLANCOURT,Chevesne,CHE,41;;;;;;;;2014
2011;id_station;Station numero 3 - BOULOGNE BILLANCOURT;Station numero 3;BOULOGNE BILLANCOURT;Gardon;GAR;76;2011,id_station,Station numero 3 - BOULOGNE BILLANCOURT,BOULOGNE BILLANCOURT,Gardon,GAR,76;;;;;;;;2011
2013;id_station;Station numero 3 - BOULOGNE BILLANCOURT;Station numero 3;BOULOGNE BILLANCOURT;Gardon;GAR;13;2013,id_station,Station numero 3 - BOULOGNE BILLANCOURT,BOULOGNE BILLANCOURT,Gardon,GAR,13;;;;;;;;2013
2019;id_station;Station numero 3 - BOULOGNE BILLANCOURT;Station numero 3;BOULOGNE BILLANCOURT;Gardon;GAR;71;2019,id_station,Station numero 3 - BOULOGNE BILLANCOURT,BOULOGNE BILLANCOURT,Gardon,GAR,71;;;;;;;;2019
2011;id_station;Station numero 3 - BOULOGNE BILLANCOURT;Station numero 3;BOULOGNE BILLANCOURT;Goujon;GOU;5;2011,id_station,Station numero 3 - BOULOGNE BILLANCOURT,BOULOGNE BILLANCOURT,Goujon,GOU,5;;;;;;;;2011
2014;id_station;Station numero 3 - BOULOGNE BILLANCOURT;Station numero 3;BOULOGNE BILLANCOURT;Goujon;GOU;6;2014,id_station,Station numero 3 - BOULOGNE BILLANCOURT,BOULOGNE BILLANCOURT,Goujon,GOU,6;;;;;;;;2014
2019;id_station;Station numero 3 - BOULOGNE BILLANCOURT;Station numero 3;BOULOGNE BILLANCOURT;Gremille;GRE;2;2019,id_station,Station numero 3 - BOULOGNE BILLANCOURT,BOULOGNE BILLANCOURT,Gremille,GRE,2;;;;;;;;2019
2015;id_station;Station numero 3 - BOULOGNE BILLANCOURT;Station numero 3;BOULOGNE BILLANCOURT;Hotu;HOT;2;2015,id_station,Station numero 3 - BOULOGNE BILLANCOURT,BOULOGNE BILLANCOURT,Hotu,HOT,2;;;;;;;;2015
2010;id_station;Station numero 3 - BOULOGNE BILLANCOURT;Station numero 3;BOULOGNE BILLANCOURT;Perche commune;PER;4;2010,id_station,Station numero 3 - BOULOGNE BILLANCOURT,BOULOGNE BILLANCOURT,Perche commune,PER,4;;;;;;;;2010
2012;id_station;Station numero 3 - BOULOGNE BILLANCOURT;Station numero 3;BOULOGNE BILLANCOURT;Perche commune;PER;4;2012,id_station,Station numero 3 - BOULOGNE BILLANCOURT,BOULOGNE BILLANCOURT,Perche commune,PER,4;;;;;;;;2012
2009;id_station;Station numero 3 - BOULOGNE BILLANCOURT;Station numero 3;BOULOGNE BILLANCOURT;Perche soleil;PES;1;2009,id_station,Station numero 3 - BOULOGNE BILLANCOURT,BOULOGNE BILLANCOURT,Perche soleil,PES,1;;;;;;;;2009
2012;id_station;Station numero 4 - NEUILLY SUR SEINE;Station numero 4;NEUILLY SUR SEINE;Ablette;ABL;38;2012,id_station,Station numero 4 - NEUILLY SUR SEINE,NEUILLY SUR SEINE,Ablette,ABL,38;;;;;;;;2012
2011;id_station;Station numero 4 - NEUILLY SUR SEINE;Station numero 4;NEUILLY SUR SEINE;Barbeau fluviatile;BAF;2;2011,id_station,Station numero 4 - NEUILLY SUR SEINE,NEUILLY SUR SEINE,Barbeau fluviatile,BAF,2;;;;;;;;2011
2012;id_station;Station numero 4 - NEUILLY SUR SEINE;Station numero 4;NEUILLY SUR SEINE;Breme sp.;BRX;1;2012,id_station,Station numero 4 - NEUILLY SUR SEINE,NEUILLY SUR SEINE,Breme sp.,BRX,1;;;;;;;;2012
2009;id_station;Station numero 4 - NEUILLY SUR SEINE;Station numero 4;NEUILLY SUR SEINE;Chabot;CHA;45;2009,id_station,Station numero 4 - NEUILLY SUR SEINE,NEUILLY SUR SEINE,Chabot,CHA,45;;;;;;;;2009
2013;id_station;Station numero 4 - NEUILLY SUR SEINE;Station numero 4;NEUILLY SUR SEINE;Chabot;CHA;15;2013,id_station,Station numero 4 - NEUILLY SUR SEINE,NEUILLY SUR SEINE,Chabot,CHA,15;;;;;;;;2013
2016;id_station;Station numero 4 - NEUILLY SUR SEINE;Station numero 4;NEUILLY SUR SEINE;Chabot;CHA;3;2016,id_station,Station numero 4 - NEUILLY SUR SEINE,NEUILLY SUR SEINE,Chabot,CHA,3;;;;;;;;2016
2019;id_station;Station numero 4 - NEUILLY SUR SEINE;Station numero 4;NEUILLY SUR SEINE;Chabot;CHA;1;2019,id_station,Station numero 4 - NEUILLY SUR SEINE,NEUILLY SUR SEINE,Chabot,CHA,1;;;;;;;;2019
2009;id_station;Station numero 4 - NEUILLY SUR SEINE;Station numero 4;NEUILLY SUR SEINE;Chevesne;CHE;4;2009,id_station,Station numero 4 - NEUILLY SUR SEINE,NEUILLY SUR SEINE,Chevesne,CHE,4;;;;;;;;2009
2010;id_station;Station numero 4 - NEUILLY SUR SEINE;Station numero 4;NEUILLY SUR SEINE;Chevesne;CHE;16;2010,id_station,Station numero 4 - NEUILLY SUR SEINE,NEUILLY SUR SEINE,Chevesne,CHE,16;;;;;;;;2010
2016;id_station;Station numero 4 - NEUILLY SUR SEINE;Station numero 4;NEUILLY SUR SEINE;Chevesne;CHE;1;2016,id_station,Station numero 4 - NEUILLY SUR SEINE,NEUILLY SUR SEINE,Chevesne,CHE,1;;;;;;;;2016
2018;id_station;Station numero 4 - NEUILLY SUR SEINE;Station numero 4;NEUILLY SUR SEINE;Chevesne;CHE;2;2018,id_station,Station numero 4 - NEUILLY SUR SEINE,NEUILLY SUR SEINE,Chevesne,CHE,2;;;;;;;;2018
2010;id_station;Station numero 4 - NEUILLY SUR SEINE;Station numero 4;NEUILLY SUR SEINE;Gardon;GAR;45;2010,id_station,Station numero 4 - NEUILLY SUR SEINE,NEUILLY SUR SEINE,Gardon,GAR,45;;;;;;;;2010
2011;id_station;Station numero 4 - NEUILLY SUR SEINE;Station numero 4;NEUILLY SUR SEINE;Gardon;GAR;27;2011,id_station,Station numero 4 - NEUILLY SUR SEINE,NEUILLY SUR SEINE,Gardon,GAR,27;;;;;;;;2011
2019;id_station;Station numero 4 - NEUILLY SUR SEINE;Station numero 4;NEUILLY SUR SEINE;Gardon;GAR;85;2019,id_station,Station numero 4 - NEUILLY SUR SEINE,NEUILLY SUR SEINE,Gardon,GAR,85;;;;;;;;2019
2012;id_station;Station numero 4 - NEUILLY SUR SEINE;Station numero 4;NEUILLY SUR SEINE;Goujon;GOU;3;2012,id_station,Station numero 4 - NEUILLY SUR SEINE,NEUILLY SUR SEINE,Goujon,GOU,3;;;;;;;;2012
2012;id_station;Station numero 4 - NEUILLY SUR SEINE;Station numero 4;NEUILLY SUR SEINE;Perche commune;PER;3;2012,id_station,Station numero 4 - NEUILLY SUR SEINE,NEUILLY SUR SEINE,Perche commune,PER,3;;;;;;;;2012
2015;id_station;Station numero 4 - NEUILLY SUR SEINE;Station numero 4;NEUILLY SUR SEINE;Perche commune;PER;5;2015,id_station,Station numero 4 - NEUILLY SUR SEINE,NEUILLY SUR SEINE,Perche commune,PER,5;;;;;;;;2015
2017;id_station;Station numero 4 - NEUILLY SUR SEINE;Station numero 4;NEUILLY SUR SEINE;Perche commune;PER;11;2017,id_station,Station numero 4 - NEUILLY SUR SEINE,NEUILLY SUR SEINE,Perche commune,PER,11;;;;;;;;2017
2019;id_station;Station numero 4 - NEUILLY SUR SEINE;Station numero 4;NEUILLY SUR SEINE;Vandoise;VAN;1;2019,id_station,Station numero 4 - NEUILLY SUR SEINE,NEUILLY SUR SEINE,Vandoise,VAN,1;;;;;;;;2019
2014;id_station;Station numero 5 - LEVALLOIS PERRET;Station numero 5;LEVALLOIS PERRET;Chabot;CHA;25;2014,id_station,Station numero 5 - LEVALLOIS PERRET,LEVALLOIS PERRET,Chabot,CHA,25;;;;;;;;2014
2011;id_station;Station numero 5 - LEVALLOIS PERRET;Station numero 5;LEVALLOIS PERRET;Chevesne;CHE;5;2011,id_station,Station numero 5 - LEVALLOIS PERRET,LEVALLOIS PERRET,Chevesne,CHE,5;;;;;;;;2011
2018;id_station;Station numero 5 - LEVALLOIS PERRET;Station numero 5;LEVALLOIS PERRET;Chevesne;CHE;11;2018,id_station,Station numero 5 - LEVALLOIS PERRET,LEVALLOIS PERRET,Chevesne,CHE,11;;;;;;;;2018
2013;id_station;Station numero 5 - LEVALLOIS PERRET;Station numero 5;LEVALLOIS PERRET;Gardon;GAR;2;2013,id_station,Station numero 5 - LEVALLOIS PERRET,LEVALLOIS PERRET,Gardon,GAR,2;;;;;;;;2013
2014;id_station;Station numero 5 - LEVALLOIS PERRET;Station numero 5;LEVALLOIS PERRET;Gardon;GAR;92;2014,id_station,Station numero 5 - LEVALLOIS PERRET,LEVALLOIS PERRET,Gardon,GAR,92;;;;;;;;2014
2019;id_station;Station numero 5 - LEVALLOIS PERRET;Station numero 5;LEVALLOIS PERRET;Hotu;HOT;2;2019,id_station,Station numero 5 - LEVALLOIS PERRET,LEVALLOIS PERRET,Hotu,HOT,2;;;;;;;;2019
2012;id_station;Station numero 5 - LEVALLOIS PERRET;Station numero 5;LEVALLOIS PERRET;Perche commune;PER;13;2012,id_station,Station numero 5 - LEVALLOIS PERRET,LEVALLOIS PERRET,Perche commune,PER,13;;;;;;;;2012
2018;id_station;Station numero 5 - LEVALLOIS PERRET;Station numero 5;LEVALLOIS PERRET;Perche commune;PER;2;2018,id_station,Station numero 5 - LEVALLOIS PERRET,LEVALLOIS PERRET,Perche commune,PER,2;;;;;;;;2018
2014;id_station;Station numero 5 - LEVALLOIS PERRET;Station numero 5;LEVALLOIS PERRET;Sandre;SAN;1;2014,id_station,Station numero 5 - LEVALLOIS PERRET,LEVALLOIS PERRET,Sandre,SAN,1;;;;;;;;2014
2013;id_station;Station numero 6 - VILLENEUVE LA GARENNE;Station numero 6;VILLENEUVE LA GARENNE;Ablette;ABL;24;2013,id_station,Station numero 6 - VILLENEUVE LA GARENNE,VILLENEUVE LA GARENNE,Ablette,ABL,24;;;;;;;;2013
2015;id_station;Station numero 6 - VILLENEUVE LA GARENNE;Station numero 6;VILLENEUVE LA GARENNE;Barbeau fluviatile;BAF;4;2015,id_station,Station numero 6 - VILLENEUVE LA GARENNE,VILLENEUVE LA GARENNE,Barbeau fluviatile,BAF,4;;;;;;;;2015
2017;id_station;Station numero 6 - VILLENEUVE LA GARENNE;Station numero 6;VILLENEUVE LA GARENNE;Barbeau fluviatile;BAF;1;2017,id_station,Station numero 6 - VILLENEUVE LA GARENNE,VILLENEUVE LA GARENNE,Barbeau fluviatile,BAF,1;;;;;;;;2017
2011;id_station;Station numero 6 - VILLENEUVE LA GARENNE;Station numero 6;VILLENEUVE LA GARENNE;Bouviere;BOU;2;2011,id_station,Station numero 6 - VILLENEUVE LA GARENNE,VILLENEUVE LA GARENNE,Bouviere,BOU,2;;;;;;;;2011
2014;id_station;Station numero 6 - VILLENEUVE LA GARENNE;Station numero 6;VILLENEUVE LA GARENNE;Chabot;CHA;27;2014,id_station,Station numero 6 - VILLENEUVE LA GARENNE,VILLENEUVE LA GARENNE,Chabot,CHA,27;;;;;;;;2014
2018;id_station;Station numero 6 - VILLENEUVE LA GARENNE;Station numero 6;VILLENEUVE LA GARENNE;Chabot;CHA;4;2018,id_station,Station numero 6 - VILLENEUVE LA GARENNE,VILLENEUVE LA GARENNE,Chabot,CHA,4;;;;;;;;2018
2016;id_station;Station numero 6 - VILLENEUVE LA GARENNE;Station numero 6;VILLENEUVE LA GARENNE;Chevesne;CHE;2;2016,id_station,Station numero 6 - VILLENEUVE LA GARENNE,VILLENEUVE LA GARENNE,Chevesne,CHE,2;;;;;;;;2016
2019;id_station;Station numero 6 - VILLENEUVE LA GARENNE;Station numero 6;VILLENEUVE LA GARENNE;Chevesne;CHE;8;2019,id_station,Station numero 6 - VILLENEUVE LA GARENNE,VILLENEUVE LA GARENNE,Chevesne,CHE,8;;;;;;;;2019
2010;id_station;Station numero 6 - VILLENEUVE LA GARENNE;Station numero 6;VILLENEUVE LA GARENNE;Gardon;GAR;10;2010,id_station,Station numero 6 - VILLENEUVE LA GARENNE,VILLENEUVE LA GARENNE,Gardon,GAR,10;;;;;;;;2010
2014;id_station;Station numero 6 - VILLENEUVE LA GARENNE;Station numero 6;VILLENEUVE LA GARENNE;Gardon;GAR;87;2014,id_station,Station numero 6 - VILLENEUVE LA GARENNE,VILLENEUVE LA GARENNE,Gardon,GAR,87;;;;;;;;2014
2015;id_station;Station numero 6 - VILLENEUVE LA GARENNE;Station numero 6;VILLENEUVE LA GARENNE;Gardon;GAR;3;2015,id_station,Station numero 6 - VILLENEUVE LA GARENNE,VILLENEUVE LA GARENNE,Gardon,GAR,3;;;;;;;;2015
2012;id_station;Station numero 6 - VILLENEUVE LA GARENNE;Station numero 6;VILLENEUVE LA GARENNE;Goujon;GOU;12;2012,id_station,Station numero 6 - VILLENEUVE LA GARENNE,VILLENEUVE LA GARENNE,Goujon,GOU,12;;;;;;;;2012
2017;id_station;Station numero 6 - VILLENEUVE LA GARENNE;Station numero 6;VILLENEUVE LA GARENNE;Goujon;GOU;1;2017,id_station,Station numero 6 - VILLENEUVE LA GARENNE,VILLENEUVE LA GARENNE,Goujon,GOU,1;;;;;;;;2017
2018;id_station;Station numero 6 - VILLENEUVE LA GARENNE;Station numero 6;VILLENEUVE LA GARENNE;Perche commune;PER;3;2018,id_station,Station numero 6 - VILLENEUVE LA GARENNE,VILLENEUVE LA GARENNE,Perche commune,PER,3;;;;;;;;2018
2011;id_station;Station numero 6 - VILLENEUVE LA GARENNE;Station numero 6;VILLENEUVE LA GARENNE;Rotengle;ROT;7;2011,id_station,Station numero 6 - VILLENEUVE LA GARENNE,VILLENEUVE LA GARENNE,Rotengle,ROT,7;;;;;;;;2011
2015;id_station;Station numero 6 - VILLENEUVE LA GARENNE;Station numero 6;VILLENEUVE LA GARENNE;Rotengle;ROT;1;2015,id_station,Station numero 6 - VILLENEUVE LA GARENNE,VILLENEUVE LA GARENNE,Rotengle,ROT,1;;;;;;;;2015
2010;id_station;Station numero 6 - VILLENEUVE LA GARENNE;Station numero 6;VILLENEUVE LA GARENNE;Sandre;SAN;1;2010,id_station,Station numero 6 - VILLENEUVE LA GARENNE,VILLENEUVE LA GARENNE,Sandre,SAN,1;;;;;;;;2010
2011;id_station;Station numero 6 - VILLENEUVE LA GARENNE;Station numero 6;VILLENEUVE LA GARENNE;Vandoise;VAN;1;2011,id_station,Station numero 6 - VILLENEUVE LA GARENNE,VILLENEUVE LA GARENNE,Vandoise,VAN,1;;;;;;;;2011
2014;id_station;Station numero 7 - NANTERRE;Station numero 7;NANTERRE;Ablette;ABL;10;2014,id_station,Station numero 7 - NANTERRE,NANTERRE,Ablette,ABL,10;;;;;;;;2014
2015;id_station;Station numero 7 - NANTERRE;Station numero 7;NANTERRE;Ablette;ABL;16;2015,id_station,Station numero 7 - NANTERRE,NANTERRE,Ablette,ABL,16;;;;;;;;2015
2009;id_station;Station numero 7 - NANTERRE;Station numero 7;NANTERRE;Barbeau fluviatile;BAF;1;2009,id_station,Station numero 7 - NANTERRE,NANTERRE,Barbeau fluviatile,BAF,1;;;;;;;;2009
2013;id_station;Station numero 7 - NANTERRE;Station numero 7;NANTERRE;Barbeau fluviatile;BAF;7;2013,id_station,Station numero 7 - NANTERRE,NANTERRE,Barbeau fluviatile,BAF,7;;;;;;;;2013
2016;id_station;Station numero 7 - NANTERRE;Station numero 7;NANTERRE;Bouviere;BOU;3;2016,id_station,Station numero 7 - NANTERRE,NANTERRE,Bouviere,BOU,3;;;;;;;;2016
2020;id_station;Station numero 7 - NANTERRE;Station numero 7;NANTERRE;Breme sp.;BRX;2;2020,id_station,Station numero 7 - NANTERRE,NANTERRE,Breme sp.,BRX,2;;;;;;;;2020
2011;id_station;Station numero 7 - NANTERRE;Station numero 7;NANTERRE;Chabot;CHA;44;2011,id_station,Station numero 7 - NANTERRE,NANTERRE,Chabot,CHA,44;;;;;;;;2011
2012;id_station;Station numero 7 - NANTERRE;Station numero 7;NANTERRE;Chabot;CHA;53;2012,id_station,Station numero 7 - NANTERRE,NANTERRE,Chabot,CHA,53;;;;;;;;2012
2011;id_station;Station numero 7 - NANTERRE;Station numero 7;NANTERRE;Gardon;GAR;85;2011,id_station,Station numero 7 - NANTERRE,NANTERRE,Gardon,GAR,85;;;;;;;;2011
2017;id_station;Station numero 7 - NANTERRE;Station numero 7;NANTERRE;Gardon;GAR;39;2017,id_station,Station numero 7 - NANTERRE,NANTERRE,Gardon,GAR,39;;;;;;;;2017
2012;id_station;Station numero 7 - NANTERRE;Station numero 7;NANTERRE;Goujon;GOU;11;2012,id_station,Station numero 7 - NANTERRE,NANTERRE,Goujon,GOU,11;;;;;;;;2012
2014;id_station;Station numero 7 - NANTERRE;Station numero 7;NANTERRE;Goujon;GOU;51;2014,id_station,Station numero 7 - NANTERRE,NANTERRE,Goujon,GOU,51;;;;;;;;2014
2017;id_station;Station numero 7 - NANTERRE;Station numero 7;NANTERRE;Hotu;HOT;1;2017,id_station,Station numero 7 - NANTERRE,NANTERRE,Hotu,HOT,1;;;;;;;;2017
2010;id_station;Station numero 7 - NANTERRE;Station numero 7;NANTERRE;Perche commune;PER;5;2010,id_station,Station numero 7 - NANTERRE,NANTERRE,Perche commune,PER,5;;;;;;;;2010
2015;id_station;Station numero 7 - NANTERRE;Station numero 7;NANTERRE;Perche commune;PER;9;2015,id_station,Station numero 7 - NANTERRE,NANTERRE,Perche commune,PER,9;;;;;;;;2015
2019;id_station;Station numero 7 - NANTERRE;Station numero 7;NANTERRE;Perche commune;PER;16;2019,id_station,Station numero 7 - NANTERRE,NANTERRE,Perche commune,PER,16;;;;;;;;2019
2017;id_station;Station numero 7 - NANTERRE;Station numero 7;NANTERRE;Perche soleil;PES;1;2017,id_station,Station numero 7 - NANTERRE,NANTERRE,Perche soleil,PES,1;;;;;;;;2017
2017;id_station;Station numero 7 - NANTERRE;Station numero 7;NANTERRE;Rotengle;ROT;2;2017,id_station,Station numero 7 - NANTERRE,NANTERRE,Rotengle,ROT,2;;;;;;;;2017
2014;id_station;Station numero 7 - NANTERRE;Station numero 7;NANTERRE;Vandoise;VAN;2;2014,id_station,Station numero 7 - NANTERRE,NANTERRE,Vandoise,VAN,2;;;;;;;;2014
2020;id_station;Station numero 7 - NANTERRE;Station numero 7;NANTERRE;Vandoise;VAN;5;2020,id_station,Station numero 7 - NANTERRE,NANTERRE,Vandoise,VAN,5;;;;;;;;2020
